date,close,open,high,low
2017/4/7,6847.72,6845.51,6850.09,6782.32
2017/4/6,6828.92,6847.29,6852.78,6814.49
2017/4/5,6869.21,6827.43,6869.37,6816.07
2017/4/4,6826.17,6826.17,6826.17,6826.17
2017/4/3,6827,6781.57,6827.06,6781.57
2017/3/31,6788.08,6829,6835.8,6782.25
2017/3/30,6833.06,6873.32,6885.95,6820.08
2017/3/29,6860.71,6853.4,6894.14,6843.83
2017/3/28,6852.29,6815.12,6859.14,6815.12
2017/3/27,6812.84,6867.16,6890.95,6797.18
2017/3/24,6866.43,6864.14,6891.77,6841.68
2017/3/23,6847.64,6858.59,6889.83,6828.71
2017/3/22,6843.09,6914.17,6914.17,6802.36
2017/3/21,6954.28,6929.46,6961.4,6926.88
2017/3/20,6911.08,6857.78,6911.16,6853.8
2017/3/17,6852.44,6851.02,6873.94,6830.36
2017/3/16,6827.71,6711.64,6827.78,6711.64
2017/3/15,6713.07,6723.69,6729.06,6683.19
2017/3/14,6732.81,6718.93,6751.02,6716.18
2017/3/13,6699.74,6610.48,6711.15,6610.48
2017/3/10,6604.5,6596.32,6618.04,6574.98
2017/3/9,6601.23,6677.37,6677.37,6594.67
2017/3/8,6671.4,6639.15,6678.56,6611.88
2017/3/7,6637.2,6604.48,6644.24,6604.48
2017/3/6,6613.41,6592.16,6624.47,6592.16
2017/3/3,6592.13,6622.71,6622.86,6575.73
2017/3/2,6635.57,6647.92,6718.04,6628.83
2017/3/1,6634.15,6632.84,6649.64,6625.86
2017/2/28,6636.74,6666.33,6692.72,6631.69
2017/2/27,6662.92,6694.85,6714.95,6659.16
2017/2/24,6706.56,6759.71,6759.81,6706.41
2017/2/23,6779.55,6794.9,6813.73,6765.34
2017/2/22,6772.18,6702.35,6772.38,6702.35
2017/2/21,6678.18,6706.58,6729.06,6662.12
2017/2/20,6706.53,6667.2,6718.11,6667.14
2017/2/17,6673.06,6715.02,6722.87,6657.87
2017/2/16,6700.9,6671.25,6712.7,6664.57
2017/2/15,6662.54,6596.78,6687.09,6596.78
2017/2/14,6612.52,6625.5,6626.66,6592.09
2017/2/13,6615.54,6560.02,6618.78,6560
2017/2/10,6556.68,6558.89,6600.84,6555.44
2017/2/9,6559.09,6519.84,6587.75,6519.65
2017/2/8,6494.56,6451.72,6503.44,6417.92
2017/2/7,6450.1,6450.65,6465.95,6429.4
2017/2/6,6438.35,6375.02,6438.39,6375.02
2017/2/3,6374.74,6375.61,6389.43,6337.85
2017/2/2,6377.43,6404.69,6428.06,6367.49
2017/2/1,6404.95,6398.02,6405.05,6343.81
2017/1/31,6403.32,6403.32,6403.32,6403.32
2017/1/30,6398.72,6398.72,6398.72,6398.72
2017/1/27,6412.02,6435.68,6435.68,6411.89
2017/1/26,6446.84,6380.75,6450.58,6380.75
2017/1/25,6361.31,6347.22,6368.06,6347.22
2017/1/24,6321.06,6300.32,6324.22,6300.32
2017/1/23,6274.54,6269.96,6310.39,6269.96
2017/1/20,6274.61,6314.01,6314.01,6274.47
2017/1/19,6310.03,6316.81,6318.31,6287.44
2017/1/18,6324.36,6282.45,6331.1,6280.48
2017/1/17,6259.46,6231.4,6267.44,6231.32
2017/1/16,6231.1,6288.18,6288.18,6217.04
2017/1/13,6284.38,6261.4,6292.05,6261.18
2017/1/12,6274.45,6289.24,6303.7,6250.83
2017/1/11,6290.79,6250.58,6296.66,6250.58
2017/1/10,6226.42,6188.26,6226.51,6187.59
2017/1/9,6175.82,6170.37,6196.01,6162.68
2017/1/6,6178.02,6170.85,6207.44,6161.77
2017/1/5,6121.51,6055.13,6129.27,6055.13
2017/1/4,6022.99,6020.65,6043.15,6008.98
2017/1/3,6001.61,5990.74,6011.99,5953.46
2016/12/30,5996.11,5959.58,6000.59,5959.27
2016/12/29,5947.64,5919.56,5953.08,5895.7
2016/12/28,5923.92,5855.82,5939.46,5855.82
2016/12/27,5855.97,5855.97,5855.97,5855.97
2016/12/23,5842.04,5856.28,5856.28,5827.75
2016/12/22,5882.43,5935.1,5935.94,5882.33
2016/12/21,5935.68,5921.98,5956.54,5921.93
2016/12/20,5910.5,5937.9,5946.22,5898.38
2016/12/19,5937.74,5982.18,5982.18,5936.31
2016/12/16,5987.32,5989.73,6020.43,5970.07
2016/12/15,6024.15,6112.73,6112.73,6006.15
2016/12/14,6126.49,6134.3,6170.39,6126.04
2016/12/13,6126.16,6108.93,6126.41,6087.4
2016/12/12,6131.5,6214.99,6236.28,6120.61
2016/12/9,6204.17,6236.73,6236.73,6180.22
2016/12/8,6227.72,6196.39,6253.97,6196.39
2016/12/7,6180.35,6164.95,6189.55,6160.15
2016/12/6,6169.01,6148.18,6192.25,6148.03
2016/12/5,6135.1,6171.6,6176.97,6109.43
2016/12/2,6178.65,6238.14,6238.14,6171.99
2016/12/1,6283.66,6290.86,6317.38,6275.64
2016/11/30,6264.86,6262.98,6299.47,6262.98
2016/11/29,6246.31,6272.46,6285.47,6246.2
2016/11/28,6267.36,6221.37,6294.48,6221.3
2016/11/25,6215.06,6178.32,6226.24,6174.78
2016/11/24,6178.6,6189.6,6189.6,6148.43
2016/11/23,6193.28,6200.1,6227.64,6184.81
2016/11/22,6207.41,6129.73,6212.78,6129.45
2016/11/21,6123.02,6109.77,6142.68,6087.32
2016/11/18,6118.89,6104.17,6129.48,6078.43
2016/11/17,6090.88,6102.54,6129.35,6073.21
2016/11/16,6081.48,6074.64,6128.72,6074.64
2016/11/15,6040.79,6021.84,6061.77,6020.89
2016/11/14,6062.13,6130.02,6130.02,6050.88
2016/11/11,6140.41,6238.3,6238.3,6117.07
2016/11/10,6281.65,6217.9,6316.83,6217.9
2016/11/9,6226.53,6337.91,6365.55,6128.82
2016/11/8,6335.22,6303.43,6346.54,6303.43
2016/11/7,6275.14,6210.58,6298.04,6210.58
2016/11/4,6211.04,6218.5,6235.81,6195.68
2016/11/3,6224.77,6253.84,6263.7,6224.68
2016/11/2,6287.72,6361.99,6361.99,6283.53
2016/11/1,6380.35,6325.69,6412.22,6325.69
2016/10/31,6337.86,6346.43,6382.59,6323.2
2016/10/28,6345.43,6395.28,6400.95,6325.41
2016/10/27,6397.7,6443.73,6451.79,6369.35
2016/10/26,6463.78,6525.6,6525.6,6463.73
2016/10/25,6529.5,6545.36,6545.4,6525
2016/10/24,6532.39,6482.55,6532.44,6444.98
2016/10/21,6482.61,6482.61,6482.61,6482.61
2016/10/20,6480.54,6468.17,6515.28,6468.17
2016/10/19,6460.83,6473.35,6493.61,6449.63
2016/10/18,6471.76,6384.19,6475.12,6384.19
2016/10/17,6381.16,6412.57,6412.57,6373.49
2016/10/14,6410.26,6382.42,6430.89,6382.42
2016/10/13,6397.88,6480.12,6480.58,6390.33
